target,start,end,metricName,value
NS.BER.00.HHE:HHZ.D,2020-01-12T02:24:59,2020-01-12T02:55:01,cross_talk,0.0907433
NS.BER.00.HHN:HHZ.D,2020-01-12T02:24:59,2020-01-12T02:55:01,cross_talk,-0.0135276
NS.BER.00.HHE:HHN.D,2020-01-15T07:53:29,2020-01-15T08:23:31,cross_talk,-0.00682062
NS.BER.00.HHE:HHZ.D,2020-01-15T07:53:29,2020-01-15T08:23:31,cross_talk,0.0928675
NS.BER.00.HHN:HHZ.D,2020-01-15T07:53:29,2020-01-15T08:23:31,cross_talk,0.0513234
NS.BER.00.HHE:HHN.D,2020-01-16T09:56:18,2020-01-16T10:26:20,cross_talk,-0.0513623
NS.BER.00.HHE:HHZ.D,2020-01-16T09:56:18,2020-01-16T10:26:20,cross_talk,-0.0111874
NS.BER.00.HHN:HHZ.D,2020-01-16T09:56:18,2020-01-16T10:26:20,cross_talk,0.0467542
NS.BER.00.HHE:HHN.D,2020-01-17T06:35:51,2020-01-17T07:05:53,cross_talk,-0.0878053
NS.BER.00.HHE:HHZ.D,2020-01-17T06:35:51,2020-01-17T07:05:53,cross_talk,0.0628226
NS.BER.00.HHN:HHZ.D,2020-01-17T06:35:51,2020-01-17T07:05:53,cross_talk,-0.0304459
NS.BER.00.HHE:HHN.D,2020-01-18T16:36:13,2020-01-18T17:06:15,cross_talk,-0.183295
NS.BER.00.HHE:HHZ.D,2020-01-18T16:36:13,2020-01-18T17:06:15,cross_talk,0.0901909
NS.BER.00.HHN:HHZ.D,2020-01-18T16:36:13,2020-01-18T17:06:15,cross_talk,-0.0669341
NS.BER.00.HHE:HHN.D,2020-01-19T13:25:55,2020-01-19T13:55:57,cross_talk,-0.489379
NS.BER.00.HHE:HHZ.D,2020-01-19T13:25:55,2020-01-19T13:55:57,cross_talk,0.0632919
NS.BER.00.HHN:HHZ.D,2020-01-19T13:25:55,2020-01-19T13:55:57,cross_talk,-0.0187533
NS.BER.00.HHE:HHN.D,2020-01-19T16:56:19,2020-01-19T17:26:21,cross_talk,0.0398209
NS.BER.00.HHE:HHZ.D,2020-01-19T16:56:19,2020-01-19T17:26:21,cross_talk,0.0756451
NS.BER.00.HHN:HHZ.D,2020-01-19T16:56:19,2020-01-19T17:26:21,cross_talk,0.0750018
NS.BER.00.HHE:HHN.D,2020-01-20T06:49:36,2020-01-20T07:19:38,cross_talk,-0.113771
NS.BER.00.HHE:HHZ.D,2020-01-20T06:49:36,2020-01-20T07:19:38,cross_talk,0.0567929
NS.BER.00.HHN:HHZ.D,2020-01-20T06:49:36,2020-01-20T07:19:38,cross_talk,0.0437933
NS.BER.00.HHE:HHN.D,2020-01-22T00:55:19,2020-01-22T01:25:21,cross_talk,-0.060209
NS.BER.00.HHE:HHZ.D,2020-01-22T00:55:19,2020-01-22T01:25:21,cross_talk,-0.0430456
NS.BER.00.HHN:HHZ.D,2020-01-22T00:55:19,2020-01-22T01:25:21,cross_talk,0.00484858
NS.BER.00.HHE:HHN.D,2020-01-22T11:02:11,2020-01-22T11:32:13,cross_talk,-0.061086
NS.BER.00.HHE:HHZ.D,2020-01-22T11:02:11,2020-01-22T11:32:13,cross_talk,0.0575858
NS.BER.00.HHN:HHZ.D,2020-01-22T11:02:11,2020-01-22T11:32:13,cross_talk,0.0500405
NS.BER.00.HHE:HHN.D,2020-01-22T18:31:39,2020-01-22T19:01:41,cross_talk,-0.0698819
NS.BER.00.HHE:HHZ.D,2020-01-22T18:31:39,2020-01-22T19:01:41,cross_talk,0.103876
NS.BER.00.HHN:HHZ.D,2020-01-22T18:31:39,2020-01-22T19:01:41,cross_talk,0.0176319
NS.BER.00.HHE:HHN.D,2020-01-22T19:20:15,2020-01-22T19:50:17,cross_talk,0.0921238
NS.BER.00.HHE:HHZ.D,2020-01-22T19:20:15,2020-01-22T19:50:17,cross_talk,-0.101421
NS.BER.00.HHN:HHZ.D,2020-01-22T19:20:15,2020-01-22T19:50:17,cross_talk,-0.0535383
NS.BER.00.HHE:HHN.D,2020-01-23T05:51:01,2020-01-23T06:21:03,cross_talk,-0.0531476
NS.BER.00.HHE:HHZ.D,2020-01-23T05:51:01,2020-01-23T06:21:03,cross_talk,0.015303
NS.BER.00.HHN:HHZ.D,2020-01-23T05:51:01,2020-01-23T06:21:03,cross_talk,0.0700352
NS.BER.00.HHE:HHN.D,2020-01-23T21:09:27,2020-01-23T21:39:29,cross_talk,-0.0381078
NS.BER.00.HHE:HHZ.D,2020-01-23T21:09:27,2020-01-23T21:39:29,cross_talk,0.084754
NS.BER.00.HHN:HHZ.D,2020-01-23T21:09:27,2020-01-23T21:39:29,cross_talk,0.0406929
NS.BER.00.HHE:HHN.D,2020-01-24T07:07:14,2020-01-24T07:37:16,cross_talk,-0.13739
NS.BER.00.HHE:HHZ.D,2020-01-24T07:07:14,2020-01-24T07:37:16,cross_talk,0.0962247
NS.BER.00.HHN:HHZ.D,2020-01-24T07:07:14,2020-01-24T07:37:16,cross_talk,-0.0140531
NS.BER.00.HHE:HHN.D,2020-01-24T17:53:13,2020-01-24T18:23:15,cross_talk,0.472071
NS.BER.00.HHE:HHZ.D,2020-01-24T17:53:13,2020-01-24T18:23:15,cross_talk,-0.0474797
NS.BER.00.HHN:HHZ.D,2020-01-24T17:53:13,2020-01-24T18:23:15,cross_talk,0.0360961
NS.BER.00.HHE:HHN.D,2020-01-26T03:55:17,2020-01-26T04:25:19,cross_talk,0.00189012
NS.BER.00.HHE:HHZ.D,2020-01-26T03:55:17,2020-01-26T04:25:19,cross_talk,0.0690876
NS.BER.00.HHN:HHZ.D,2020-01-26T03:55:17,2020-01-26T04:25:19,cross_talk,0.000511126
NS.BER.00.HHE:HHN.D,2020-01-26T06:29:54,2020-01-26T06:59:56,cross_talk,0.00201153
NS.BER.00.HHE:HHZ.D,2020-01-26T06:29:54,2020-01-26T06:59:56,cross_talk,0.00607114
NS.BER.00.HHN:HHZ.D,2020-01-26T06:29:54,2020-01-26T06:59:56,cross_talk,0.00668951
NS.BER.00.HHE:HHN.D,2020-01-26T09:10:07,2020-01-26T09:40:09,cross_talk,0.03002
NS.BER.00.HHE:HHZ.D,2020-01-26T09:10:07,2020-01-26T09:40:09,cross_talk,0.094529
NS.BER.00.HHN:HHZ.D,2020-01-26T09:10:07,2020-01-26T09:40:09,cross_talk,0.0237214
NS.BER.00.HHE:HHN.D,2020-01-26T22:31:38,2020-01-26T23:01:40,cross_talk,-0.0419318
NS.BER.00.HHE:HHZ.D,2020-01-26T22:31:38,2020-01-26T23:01:40,cross_talk,0.0226582
NS.BER.00.HHN:HHZ.D,2020-01-26T22:31:38,2020-01-26T23:01:40,cross_talk,0.00445503
