target,start,end,metricName,value
NS.BER.00.HHE.D,2020-01-16T10:08:13,2020-01-16T10:09:15,sample_snr,1.06759
NS.BER.00.HHN.D,2020-01-16T10:08:13,2020-01-16T10:09:15,sample_snr,1.32703
NS.BER.00.HHZ.D,2020-01-16T10:08:13,2020-01-16T10:09:15,sample_snr,1.38442
NS.BER.00.HHE.D,2020-01-17T06:48:55,2020-01-17T06:49:57,sample_snr,1.07699
NS.BER.00.HHN.D,2020-01-17T06:48:55,2020-01-17T06:49:57,sample_snr,0.82324
NS.BER.00.HHZ.D,2020-01-17T06:48:55,2020-01-17T06:49:57,sample_snr,0.780862
NS.BER.00.HHE.D,2020-01-18T16:52:19,2020-01-18T16:53:21,sample_snr,1.14201
NS.BER.00.HHN.D,2020-01-18T16:52:19,2020-01-18T16:53:21,sample_snr,1.76207
NS.BER.00.HHZ.D,2020-01-18T16:52:19,2020-01-18T16:53:21,sample_snr,1.03138
NS.BER.00.HHE.D,2020-01-19T13:36:01,2020-01-19T13:37:03,sample_snr,1.11858
NS.BER.00.HHN.D,2020-01-19T13:36:01,2020-01-19T13:37:03,sample_snr,0.872757
NS.BER.00.HHZ.D,2020-01-19T13:36:01,2020-01-19T13:37:03,sample_snr,1.15387
NS.BER.00.HHE.D,2020-01-19T17:11:36,2020-01-19T17:12:38,sample_snr,1.24897
NS.BER.00.HHN.D,2020-01-19T17:11:36,2020-01-19T17:12:38,sample_snr,1.40527
NS.BER.00.HHZ.D,2020-01-19T17:11:36,2020-01-19T17:12:38,sample_snr,1.02497
NS.BER.00.HHE.D,2020-01-20T07:06:19,2020-01-20T07:07:21,sample_snr,2.50274
NS.BER.00.HHN.D,2020-01-20T07:06:19,2020-01-20T07:07:21,sample_snr,1.16593
NS.BER.00.HHZ.D,2020-01-20T07:06:19,2020-01-20T07:07:21,sample_snr,1.11748
NS.BER.00.HHE.D,2020-01-22T01:13:14,2020-01-22T01:14:16,sample_snr,1.01323
NS.BER.00.HHN.D,2020-01-22T01:13:14,2020-01-22T01:14:16,sample_snr,0.768909
NS.BER.00.HHZ.D,2020-01-22T01:13:14,2020-01-22T01:14:16,sample_snr,0.637904
NS.BER.00.HHE.D,2020-01-22T11:14:04,2020-01-22T11:15:06,sample_snr,0.640052
NS.BER.00.HHN.D,2020-01-22T11:14:04,2020-01-22T11:15:06,sample_snr,1.62586
NS.BER.00.HHZ.D,2020-01-22T11:14:04,2020-01-22T11:15:06,sample_snr,0.909034
NS.BER.00.HHE.D,2020-01-22T18:48:59,2020-01-22T18:50:01,sample_snr,0.714754
NS.BER.00.HHN.D,2020-01-22T18:48:59,2020-01-22T18:50:01,sample_snr,0.739176
NS.BER.00.HHZ.D,2020-01-22T18:48:59,2020-01-22T18:50:01,sample_snr,1.11536
NS.BER.00.HHE.D,2020-01-22T19:27:14,2020-01-22T19:28:16,sample_snr,0.887
NS.BER.00.HHN.D,2020-01-22T19:27:14,2020-01-22T19:28:16,sample_snr,0.977927
NS.BER.00.HHZ.D,2020-01-22T19:27:14,2020-01-22T19:28:16,sample_snr,0.728235
NS.BER.00.HHE.D,2020-01-23T06:03:28,2020-01-23T06:04:30,sample_snr,1.01667
NS.BER.00.HHN.D,2020-01-23T06:03:28,2020-01-23T06:04:30,sample_snr,0.860998
NS.BER.00.HHZ.D,2020-01-23T06:03:28,2020-01-23T06:04:30,sample_snr,1.44071
NS.BER.00.HHE.D,2020-01-23T21:23:59,2020-01-23T21:25:01,sample_snr,0.967268
NS.BER.00.HHN.D,2020-01-23T21:23:59,2020-01-23T21:25:01,sample_snr,0.851931
NS.BER.00.HHZ.D,2020-01-23T21:23:59,2020-01-23T21:25:01,sample_snr,1.03224
NS.BER.00.HHE.D,2020-01-24T07:17:02,2020-01-24T07:18:04,sample_snr,0.966769
NS.BER.00.HHN.D,2020-01-24T07:17:02,2020-01-24T07:18:04,sample_snr,1.0059
NS.BER.00.HHZ.D,2020-01-24T07:17:02,2020-01-24T07:18:04,sample_snr,1.3772
NS.BER.00.HHE.D,2020-01-24T18:00:55,2020-01-24T18:01:57,sample_snr,0.831899
NS.BER.00.HHN.D,2020-01-24T18:00:55,2020-01-24T18:01:57,sample_snr,0.668592
NS.BER.00.HHZ.D,2020-01-24T18:00:55,2020-01-24T18:01:57,sample_snr,1.3075
