target,start,end,metricName,time,value
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_spikes,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_gaps,,1
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_gap,,0.67
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_overlaps,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_overlap,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,percent_availability,,99.9992
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,calibration_signal,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,timing_correction,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_begin,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_end,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_in_progress,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,clock_locked,,20031
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,amplifier_saturation,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,digitizer_clipping,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,spikes,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,glitches,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,missing_padded_data,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,digital_filter_charging,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,suspect_time_tag,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,timing_quality,,99.02
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_min,,-18603
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_median,,-14135
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_mean,,-14134.7
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_max,,-9363
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_rms,,980.161
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_unique,,8513
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_stalta,2020-01-01T02:24:54,17.5852
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_spikes,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_gaps,,1
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_gap,,0.78
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_overlaps,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_overlap,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,percent_availability,,99.9991
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,calibration_signal,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,timing_correction,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_begin,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_end,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_in_progress,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,clock_locked,,20221
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,amplifier_saturation,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,digitizer_clipping,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,spikes,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,glitches,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,missing_padded_data,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,digital_filter_charging,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,suspect_time_tag,,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,timing_quality,,99.0216
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_min,,-19070
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_median,,-14596
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_mean,,-14595.7
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_max,,-7750
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_rms,,882.354
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_unique,,7879
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_stalta,2020-01-02T08:52:15,17.1143
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_spikes,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_gaps,,1
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_gap,,0.97
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_overlaps,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_overlap,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,percent_availability,,99.9989
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,calibration_signal,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,timing_correction,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_begin,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_end,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_in_progress,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,clock_locked,,20405
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,amplifier_saturation,,0
