target,starttime,endtime,freq,power
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0052556,-155.585
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.00573128,-157.503
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.00625,-157.946
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.00681567,-158.828
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.00743254,-159.062
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.00810525,-158.747
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.00883883,-159.593
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.00963882,-159.439
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0105112,-159.637
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0114626,-159.926
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0125,-160.08
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0136313,-160.375
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0148651,-160.317
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0162105,-162.607
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0176777,-163.956
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0192776,-163.52
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0210224,-164.688
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0229251,-164.374
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.025,-164.05
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0272627,-163.139
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0297302,-162.002
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.032421,-157.048
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0353553,-152.757
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0385553,-145.703
NS.BER.00.HHE,2020-01-15T00:00:00,2020-01-15T01:00:00,0.0420448,-138.829
