target,starttime,endtime,freq,power
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0052556,-155.072
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00573128,-157.035
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00625,-157.478
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00681567,-158.923
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00743254,-159.157
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00810525,-159.803
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00883883,-161.706
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00963882,-161.552
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0105112,-161.662
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0114626,-162.097
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0125,-162.2
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0136313,-162.501
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0148651,-162.406
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0162105,-163.463
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0176777,-164.464
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0192776,-163.98
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0210224,-164.722
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0229251,-166.217
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.025,-166.461
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0272627,-165.932
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0297302,-165.825
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.032421,-165.822
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0353553,-165.361
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0385553,-164.467
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0420448,-162.427
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0458502,-159.335
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.05,-155.531
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0545254,-151.378
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0594604,-147.376
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.064842,-145.564
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0707107,-144.327
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0771105,-143.162
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0840896,-142.174
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0917004,-141.044
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.1,-136.311
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.109051,-128.701
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.118921,-120.727
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.129684,-115.266
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.141421,-109.887
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.154221,-105.68
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.168179,-104.014
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.183401,-103.139
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.2,-102.612
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.218102,-102.131
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.237841,-101.776
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.259368,-101.591
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.282843,-102.075
NS.BER.00.HHZ,2020-01-17T00:00:00,2020-01-17T01:00:00,0.308442,-104.326
